title,track,course,rooms,days,time_slots,team,description,expected_result,tags,tech_areas,author,telegram_contact,links,repository,avg_score,expert_count,mentor_involvement,score_актуальность,score_практ_значимость,score_новизна,score_импакт,score_rd_сложность,score_масштабирование,score_критерий_7,expert_comments
"""MODERA.FASHION (проект на ВКР)
ПушИИстик""",Стартап,,,,,,"[Трек: Стартап] ""1. MODERA.FASHION Примерка одежды, новая модель сер ноября 2025
2. MODERA.FASHION Примерка аксессуаров, исследование и разработка сер дек 2025
3. MODERA.FASHION AI Stylist приложение конец декабря 2025
4. MODERA.FASHION Телеграм бот примерки приложение конец декабря 2025
5. MODERA.FASHION Внедрение AR в демо режиме конец января 2025

1. ПушИИстик Исследование конец октября 2025
2. ПушИИстик Speech pipeline нояб 2025
3. ПушИИстик  модуль дек 2025
4. ПушИИстик English модуль дек 2025
5. ПушИИстик GuardRails модуль дек 2025 
6. ПушИИстик Safety модуль дек 2025 """,,ASR; Стартап,,Студент_557,@user_701,,,0,0,,,,,,,,,
"""Анализ и выявление семантических дублей в новостях внешней торговли"" от центра анализа данных.",Научный,,,,,,"[Трек: Научный] Мы с командой движемся по плану, сейчас делаем ресерч по литературе, решениям схожих проблем. Затем у нас в планах доработать датасет с дублями, продумать его структуру и необхожидые метаданные. Затем мы планируем улучшить качество текущего решения и уменьшить кол-во ручных проверок

Ожидаемый результат: возможность оформить статью вокруг создания датасета или самого решения",возможность оформить статью вокруг создания датасета или самого решения,FinTech; Research,,Студент_629,@user_692,,,0,0,,,,,,,,,
"""Разработка рекомендательного doc2doc сервиса товарных изображений""",Индустриальный,1 курс,,,,,"[Трек: Индустриальный] 1. [Разработка инфраструктуры сервиса doc2doc] - проектирование микросервисов
2. [Разработка инфраструктуры сервиса doc2doc] - реализация работы сервиса на основе hnsw
3. [Разработка инфраструктуры сервиса doc2doc] - внедрение логирования выдачи для нужд данных под обучение ранжирования
4. [Ранжирование] - Рассчет факторов ранжирование в сервисе и обучение формул
5. [Разработка инфраструктуры сервиса doc2doc] - обогащение выдачи сторонними сервисами для visability сервиса",,EdTech; CV; RecSys; ML в промышленности,RecSys; Other,Студент_411,@user_455,https://docs.google.com/presentation/d/1JfKlwv6CXGjShL7RdyrhFeqgsQkI8bctbA7snectFbg/edit?usp=sharing,,0,0,4.0,,,,,,,,
"""Узнай город"" (Бебра)",Индустриальный,,,,,,"[Трек: Индустриальный] Записалась к ним на ML/backend, пока из задач поставили:
1. Продумать хранение тензоров изображений (research)
2. Сейчас веб-сервер nginx встроен в контейнер frontend. Нужно разделить.
3. Настроить CI/CD
4. Настроить линтеры

Ожидаемый результат: Предполагаемый результат: Доработанная архитектура",Предполагаемый результат: Доработанная архитектура,CV; ML в промышленности,,Студент_492,@user_676,,,0,0,,,,,,,,,
"""Умный генератор коммерческих предложений на основе LLM
Суть проекта:
Разработать AI-сервис, который автоматически формирует коммерческие предложения (КП) на основе входящих заявок от клиентов — будь то письмо, PDF, скан или текстовый файл. Сервис будет использовать LLM/VLLM для анализа запроса, извлечения ключевых параметров и генерации корректных наименований продукции в соответствии с внутренней документацией, спецификациями поставщиков и системой бизнес-правил.""",Индустриальный,,,,,,"[Трек: Индустриальный] 1 - Анализ темы трека
2 - Планирование задач 
3 - Разработка сервиса ИИ
4- Тестирование 
5- Развертывание приложения на продакшене",,ML в промышленности; NLP; LLM,,Студент_2009,@user_685,,,0,0,,,,,,,,,
(примерно) Применение нейросетевых моделей для оценки кредитного риска,Индустриальный,,,,,,"[Трек: Индустриальный] Октябрь: работа с данными (транзакции, история БКИ), нужные согласования, сбор выборок для моделирования, генерация признаков, исследование подходов
Ноябрь-Декабрь: моделирование, проверка гипотез на исторических данных
Январь: окончание моделирование, действия в зависимости от успеха/улучшения целевой метрики

Ожидаемый результат: Есть mvp, есть метрики качества, сравнение с работающей в проде моделью","Есть mvp, есть метрики качества, сравнение с работающей в проде моделью",FinTech; ML в промышленности,,Студент_239,@user_157,,,0,0,,,,,,,,,
Adapstory,Стартап,2 курс,Презентация проектов перед бизнес - партнерами,2026-01-23,15:15:00,,"[Трек: Стартап] На данный момент проводим глубокий рисерч и CustDev. Будем разрабатывать агентов для образования, построение курсов в телеграм

Ожидаемый результат: PoC/MVP к концу семестра",PoC/MVP к концу семестра,Автономные агенты; Business; Стартап; EdTech,,Студент_748,@expert_239,,,3.0,1,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,
Adapstory - персонализированное обучение,Стартап,,,,,,"[Трек: Стартап] Мы делаем:
Создать веб-платформу и конструктор диалогов, которые через доставку контента, вопросы, RAG-поддержку и аналитический стек фиксируют не только результат (что сделал ученик), но и ход мыслей (какие гипотезы предлагал/отвергал, какие вопросы задавал), дают наводящие вопросы вместо ответов и автоматически подсказывают наставнику где и как вмешаться.

Дизайн сценариев и образовательной логики
Разработать шаблоны сценариев 
Составить рубрики для оценки навыков мышления (знание, аргументация, креативность и т.д.).
Разработать фиксирование мета-когнитивных навыков (черновики, запросы подсказок, время и т.д.).
Технический MVP
Доработать бэкенд и базу данных (сессий, журнал действий).
Создать фронтенд: интерфейс для ученика, наставника и админ-панель.
Построить визуальный конструктор диалогов (drag-and-drop).
Реализовать базовый RAG-конвейер для поиска по источникам.
Настроить детальное логирование всех действий пользователя.
Метрики мышления и модель оценки
Разработать автоматические метрики качества мышления (качество вопросов, глубина рассуждений и т.д.).
Интегрировать систему оценки и создать визуализацию «портрета мышления» ученика.
Наставник в контуре и педагогические фичи
Создать UI для наставника с аналитикой и подсказками для вмешательства в обучение.
Настроить workflow наставника (уведомления, шаблоны обратной связи).
Провести тренинг для наставников по использованию системы и работе с учениками.

Ожидаемый результат: К концу семестра будет готов прототип платформы для развития мышления. Он будет включать конструктор сценариев с диалогами-тренажерами и систему автоматической оценки метрик качества мышления ученика. В процесс будет интегрирован наставник с инструментами для точечного вмешательства и обратной связи.",К концу семестра будет готов прототип платформы для развития мышления. Он будет включать конструктор сценариев с диалогами-тренажерами и систему автоматической оценки метрик качества мышления ученика. В процесс будет интегрирован наставник с инструментами для точечного вмешательства и обратной связи.,EdTech; Стартап; RecSys; RAG,,Студент_447,@user_651,,,0,0,,,,,,,,,
Adaptive Agents x AIRI,Индустриальный,,,,,,"[Трек: Индустриальный] Жду согласования проекта и дату

Ожидаемый результат: Жду согласования проекта и дату",Жду согласования проекта и дату,Автономные агенты; ML в промышленности,,Студент_814,@user_311,,,0,0,,,,,,,,,
"adaptive assessment engine: система генерации, валидации и динамической оценки знаний",,,FinTech,2026-01-22,13:30:00,,,,FinTech,,,,,,2.24,6,,2.5,2.17,2.17,2.2,1.83,2.67,2.17,"Хотелось бы конечно увидеть технологию оценки знаний на живом бизнесе, напр. в рамках лабораторного эксперимента с любым банком"
Adaptive AutoML,Научный,,,,,,"[Трек: Научный] 1. Обзор литературы: собрать существующие методы, метрики, сформулировать исследовательские вопросы
2. Подготовка экспериментальной среды: выбрать несколько датасетов, несколько моделей, написать код для пайплайна дообучения + расчета метрик
3. Исследование методов отбора данных: реализовать базовые стратегии, провести с ними эксперименты на пайплайне из предыдущего пункта, сравнить результаты по метрикам. Определить финальную гипотезу и методы, которые стоит развивать/масштабировать.
4. Оформление отчета о практике/короткой статьи о пилотных результатах

Ожидаемый результат: проведен сравнительный анализ существующих методов, проверены основные гипотезы, определено направление дальнейшего ресерча","проведен сравнительный анализ существующих методов, проверены основные гипотезы, определено направление дальнейшего ресерча",Research; EdTech,,Студент_047,@user_359,,,0,0,,,,,,,,,
Advancify,Индустриальный,,,,,,"[Трек: Индустриальный] Внедрить модели классификации учебной/неучебной активности, внедрить модель усталости глаз

Ожидаемый результат: Релиз приложения Advancify Desktop с моими внедренными моделями",Релиз приложения Advancify Desktop с моими внедренными моделями,ML в промышленности,,Студент_173,@user_657,,,0,0,,,,,,,,,
Agent Memory,Научный,,,,,,"[Трек: Научный] ""### Этап 1. Анализ и уточнение постановки задачи (1–2 неделя)

* Уточнение терминов и моделей памяти: STM, MTM, LTM.
* Формализация CRUD-операций для каждого типа памяти.
* Определение метрик токен-баланса и критериев корректности извлечения.
* Согласование архитектуры модуля с руководителем / командой.

**Предполагаемый результат:** утверждённое описание типов памяти, набора метрик и критериев качества; черновой документ со схемой архитектуры.

---

### Этап 2. Проектирование модульной архитектуры памяти (3–5 неделя)

* Разработка интерфейсов между STM, MTM и LTM (общий API).
* Проработка структуры данных для каждого типа памяти:

  * STM — контекстная очередь/буфер;
  * MTM — графовая или табличная онтология;
  * LTM — неизменяемое индексированное хранилище (GraphRAG-подобная структура).
* Проектирование системы Bi-Directional Middle-Long Binds (BMLB).
* Определение формата данных и протокола взаимодействия модулей.

**Предполагаемый результат:** прототип архитектуры и схемы взаимодействия модулей; техническое описание API и структур данных.

---

### Этап 3. Реализация базового прототипа памяти (6–9 неделя)

* Реализация модулей STM, MTM и LTM в минимально работоспособной форме.
* Настройка CRUD-операций и измерения токен-стоимости (через трекинг токенов LLM).
* Реализация BMLB-связей между MTM и LTM.
* Тестирование корректности CRUD и базовой функциональности.

**Предполагаемый результат:** базовый прототип Memory OS, способный выполнять CRUD-операции и вести токен-баланс.

---

### Этап 4. Разработка и интеграция бенчмарков (10–12 неделя)

* Подготовка или адаптация тестовых наборов данных GVD и LoCoMo.
* Разработка сценариев для оценки разных временных горизонтов памяти.
* Внедрение измерения метрик: токен-cost, корректность, скорость.
* Проведение первых сравнительных тестов.

**Предполагаемый результат:** работающий бенчмарк, собирающий метрики по каждому типу памяти и сценарию; первые результаты производительности.

---

### Этап 5. Анализ ",,Автономные агенты; Research; RAG; NLP; HR; LLM,,Студент_024,@user_056,,,0,0,,,,,,,,,
agent-reviewer for scientific tasks,,,Multiagent systems,2026-01-23,16:00:00,,,,Agents; Автономные агенты,,,,,,2.93,2,,3.0,3.0,3.0,2.5,3.0,3.0,3.0,
AgentArea,Стартап,1 курс,Презентация проектов перед бизнес - партнерами,2026-01-23,16:30:00,,"[Трек: Стартап] Погружение (2 недели)
- Изучить кодовую базу AgentArea
- Разобрать существующие подходы к планированию задач агентами
- Настроить среду разработки, сделать первые правки

Основная разработка (4 недели)
Модуль планирования для агентов:
- Декомпозиция сложных задач на подзадачи
- Построение графа зависимостей между шагами
- Валидация и корректировка плана в процессе выполнения

Система оценки агентов:
- Метрики: скорость ответа, расход токенов, процент успешных задач
- Скрипт автоматического тестирования
- Отчеты в JSON

Этап 3: Завершение (2-3 недели)
- Встроить модули в основную систему
- Написать документацию с примерами
- Протестировать и отправить PR
- Подготовить презентацию для ИТМО

Ожидаемый результат: Что будет сделано: 1) Модуль планирования задач - агент сможет разбивать сложные запросы на шаги 2) Скрипт для оценки качества работы агентов 3) 2-3 принятых PR в репозиторий 4) Техническая документация   Что получу: 1) Более глубокое понимание архитектуры агентных систем 2) Опыт работы с декомпозицией задач для LLM 3) Вклад в open-source проект 4) База для дальнейшей работы в стартапе",Что будет сделано: 1) Модуль планирования задач - агент сможет разбивать сложные запросы на шаги 2) Скрипт для оценки качества работы агентов 3) 2-3 принятых PR в репозиторий 4) Техническая документация   Что получу: 1) Более глубокое понимание архитектуры агентных систем 2) Опыт работы с декомпозицией задач для LLM 3) Вклад в open-source проект 4) База для дальнейшей работы в стартапе,Автономные агенты; Стартап; NLP; Business; LLM,NLP; LLM; Agentic_AI; Data_Scientist,Студент_212,@user_091,https://github.com/dpGorbunov/experiments-agentarea,,2.79,2,5.0,3.0,3.0,3.0,2.5,3.0,3.0,2.0,
agentarea - платформа для построения агентских сетей,,,"Мультиагентные системы, агенты",2026-01-22,10:45:00,,,,Agents; Автономные агенты,,,,,,1.19,6,,2.0,1.0,1.0,1.0,1.0,1.33,1.0,"не хватило демонстрации примеров-кейсов, где данное решение хорошо (в идеале лучше чем существующие решения) показывает себя | не раскрыта ценность проекта, не очень понятно, сравнивали ли с deep agents и сходятся ли решения по метрикам качества/перформанса | один вопрос - зачем? | Не раскрыл ценность. | Не очень понятна конечная ценность проекта и преимущества перед другими решениями | Свой велосипед по факту; время/деньги на отладку, когда есть миллион +1 фреймворк на gh"
agentic memory,,,Agent,2026-01-23,11:00:00,,,,Agents; Автономные агенты,,,,,,2.57,2,,3.0,3.0,2.5,2.0,2.5,3.0,2.0,
AI - Researcher,Индустриальный,2 курс,RecSys,2026-01-22,12:00:00,,"[Трек: Индустриальный] "" 1. Проведение ресерча актуальных архитектур агентов
2. Выбор подходящих решений 
3. Реализация и тестирование модификаций архитектуры""",,Автономные агенты; NLP; ML в промышленности; RecSys; LLM,LLM; Agentic_AI,Студент_1018,@user_488,https://docs.google.com/presentation/d/1WOmIqHOXBTslasLru09Oa6DZDx67__1qM_iN8IBMlYo/edit?usp=sharing,,3.0,1,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,
AI agents for Science,Научный,,,,,,"[Трек: Научный] исследование и доработка существующих решений agents4science. Разработка своего собственного.

Ожидаемый результат: доработаная система для написания статей end2end с незанчительным участием человека. Драфт статьи на Q1/A* конференцию.",доработаная система для написания статей end2end с незанчительным участием человека. Драфт статьи на Q1/A* конференцию.,Автономные агенты; Research,,Студент_371,@user_002,,,0,0,,,,,,,,,
AI Media Producer,Индустриальный,1 курс,"Геймификация, визуализация, 3D",2026-01-22,14:15:00,,"[Трек: Индустриальный] Задача: агент для генерации изображений на локальных open-source или недорогих SDXL-style моделях.

В задачи разработки агента генерации изображений входят следующие этапы:
- Изучение существующих решений автоматизации генерации промптов для изображений (в comfyui или diffusers).
- Выбор универсальной и эффективной локальной модели генерации изоражений, на которой будет тестироваться пайплайн
опционально: попробовать локальные видеогенераторы
- Разработка основной части агента / workflow в comfyui, тестирование с различными локальными/дешёвыми LLM / VLM
- (опционально) Интеграция разработанного агента в MVP общего агента от Сергея М.

Ожидаемый результат: MVP / готовый агент генерации изображений, соответствующим минимальным требованиям: - генератор должен составлять промпты по запросу юзера с нуля; - генератор должен исправлять промпты по запросу, управлять вниманием модели (чтобы исправления реально работали)","MVP / готовый агент генерации изображений, соответствующим минимальным требованиям: - генератор должен составлять промпты по запросу юзера с нуля; - генератор должен исправлять промпты по запросу, управлять вниманием модели (чтобы исправления реально работали)",Автономные агенты; CV; NLP; ML в промышленности; 3D/Games; VLM; LLM,Other,Студент_377,@user_010,https://disk.yandex.ru/d/jUYwHUHeqSjJzQ,,1.52,3,5.0,1.33,1.67,1.33,1.67,1.67,1.67,1.33,
Ai review | Я Практикум,Индустриальный,1 курс,,,,,"[Трек: Индустриальный] Разработать и протестировать подход к автоматическому анализу и валидации отзывов модели по коду, работающему с проектами в формате ZIP-архивов.

Исследовать, как можно автоматически проверять корректность ответов модели, анализирующей код проекта.

Проработать структуру обратной связи (комментарии к строкам, блокам, файлам, итоговое резюме).

Предложить методику оценки качества комментариев модели по сравнению с человеческим ревью.

Ожидаемый результат: Сделать рабочий прототип для каждой из задач",Сделать рабочий прототип для каждой из задач,HR; ML в промышленности,,Студент_1449,@user_627,,,0,0,,,,,,,,,
AI Sale Ассист,Индустриальный,2 курс,,,,,"[Трек: Индустриальный] - Проведение продуктовых исследований и валидация продукта
- Проведение технических исследований под первоначальную идею
- Разработка базового MVP

Ожидаемый результат: Определение финального функционала продукта по итогам продуктовых исследований",Определение финального функционала продукта по итогам продуктовых исследований,ML в промышленности,,Студент_572,@user_204,,,0,0,,,,,,,,,
