title,rooms,days,tracks,time_slots,team,description,tags,author,telegram_contact,avg_score,expert_count
"""MODERA.FASHION (проект на ВКР)
ПушИИстик""",,,,,,"[Трек: Стартап] ""1. MODERA.FASHION Примерка одежды, новая модель сер ноября 2025
2. MODERA.FASHION Примерка аксессуаров, исследование и разработка сер дек 2025
3. MODERA.FASHION AI Stylist приложение конец декабря 2025
4. MODERA.FASHION Телеграм бот примерки приложение конец декабря 2025
5. MODERA.FASHION Внедрение AR в демо режиме конец января 2025

1. ПушИИстик Исследование конец октября 2025
2. ПушИИстик Speech pipeline нояб 2025
3. ПушИИстик  модуль дек 2025
4. ПушИИстик English модуль дек 2025
5. ПушИИстик GuardRails модуль дек 2025 
6. ПушИИстик Safety модуль дек 2025 """,ASR; Стартап,Студент_557,@user_701,0,0
"""Анализ и выявление семантических дублей в новостях внешней торговли"" от центра анализа данных.",,,,,,"[Трек: Научный] Мы с командой движемся по плану, сейчас делаем ресерч по литературе, решениям схожих проблем. Затем у нас в планах доработать датасет с дублями, продумать его структуру и необхожидые метаданные. Затем мы планируем улучшить качество текущего решения и уменьшить кол-во ручных проверок

Ожидаемый результат: возможность оформить статью вокруг создания датасета или самого решения",Research; FinTech,Студент_629,@user_692,0,0
"""Разработка рекомендательного doc2doc сервиса товарных изображений""",,,,,,"[Трек: Индустриальный] 1. [Разработка инфраструктуры сервиса doc2doc] - проектирование микросервисов
2. [Разработка инфраструктуры сервиса doc2doc] - реализация работы сервиса на основе hnsw
3. [Разработка инфраструктуры сервиса doc2doc] - внедрение логирования выдачи для нужд данных под обучение ранжирования
4. [Ранжирование] - Рассчет факторов ранжирование в сервисе и обучение формул
5. [Разработка инфраструктуры сервиса doc2doc] - обогащение выдачи сторонними сервисами для visability сервиса",CV; ML в промышленности; EdTech; RecSys,Студент_411,@user_455,0,0
"""Узнай город"" (Бебра)",,,,,,"[Трек: Индустриальный] Записалась к ним на ML/backend, пока из задач поставили:
1. Продумать хранение тензоров изображений (research)
2. Сейчас веб-сервер nginx встроен в контейнер frontend. Нужно разделить.
3. Настроить CI/CD
4. Настроить линтеры

Ожидаемый результат: Предполагаемый результат: Доработанная архитектура",CV; ML в промышленности; Research,Студент_492,@user_676,0,0
"""Умный генератор коммерческих предложений на основе LLM
Суть проекта:
Разработать AI-сервис, который автоматически формирует коммерческие предложения (КП) на основе входящих заявок от клиентов — будь то письмо, PDF, скан или текстовый файл. Сервис будет использовать LLM/VLLM для анализа запроса, извлечения ключевых параметров и генерации корректных наименований продукции в соответствии с внутренней документацией, спецификациями поставщиков и системой бизнес-правил.""",,,,,,"[Трек: Индустриальный] 1 - Анализ темы трека
2 - Планирование задач 
3 - Разработка сервиса ИИ
4- Тестирование 
5- Развертывание приложения на продакшене",ML в промышленности; NLP,Студент_2009,@user_685,0,0
(примерно) Применение нейросетевых моделей для оценки кредитного риска,,,,,,"[Трек: Индустриальный] Октябрь: работа с данными (транзакции, история БКИ), нужные согласования, сбор выборок для моделирования, генерация признаков, исследование подходов
Ноябрь-Декабрь: моделирование, проверка гипотез на исторических данных
Январь: окончание моделирование, действия в зависимости от успеха/улучшения целевой метрики

Ожидаемый результат: Есть mvp, есть метрики качества, сравнение с работающей в проде моделью",ML в промышленности; NLP; FinTech,Студент_239,@user_157,0,0
AI - Researcher,RecSys,,,,,"[Трек: Индустриальный] "" 1. Проведение ресерча актуальных архитектур агентов
2. Выбор подходящих решений 
3. Реализация и тестирование модификаций архитектуры""",Автономные агенты; Research; RecSys; ML в промышленности,Студент_1018,@user_488,3.0,1
AI Media Producer,"Геймификация, визуализация, 3D",,,,,"[Трек: Индустриальный] Задача: агент для генерации изображений на локальных open-source или недорогих SDXL-style моделях.

В задачи разработки агента генерации изображений входят следующие этапы:
- Изучение существующих решений автоматизации генерации промптов для изображений (в comfyui или diffusers).
- Выбор универсальной и эффективной локальной модели генерации изоражений, на которой будет тестироваться пайплайн
опционально: попробовать локальные видеогенераторы
- Разработка основной части агента / workflow в comfyui, тестирование с различными локальными/дешёвыми LLM / VLM
- (опционально) Интеграция разработанного агента в MVP общего агента от Сергея М.

Ожидаемый результат: MVP / готовый агент генерации изображений, соответствующим минимальным требованиям: - генератор должен составлять промпты по запросу юзера с нуля; - генератор должен исправлять промпты по запросу, управлять вниманием модели (чтобы исправления реально работали)",ML в промышленности; 3D/Games; CV; Автономные агенты; NLP,Студент_377,@user_010,1.52,3
AI Sale Ассист,,,,,,"[Трек: Индустриальный] - Проведение продуктовых исследований и валидация продукта
- Проведение технических исследований под первоначальную идею
- Разработка базового MVP

Ожидаемый результат: Определение финального функционала продукта по итогам продуктовых исследований",ML в промышленности,Студент_572,@user_204,0,0
AI Security Lab,,,,,,"[Трек: Научный] Проведу исследование защиты llm систем

Ожидаемый результат: Наброски статьи",Research; Security; NLP,Студент_827,@user_318,0,0
