id,name,telegram,position,expertise_tags
expert-001,Егор Спирин,@spirin_egor,"ML Team Lead, Raiffeisen (ex-VK, ex-JetBrains)","ML, LLM, Engineering"
expert-002,Ярослав Тулупов,@tulupov_y,"Директор по разработке, X5 Tech","Engineering, Management, Architecture"
expert-003,Виталий Лукин,@lukinvit,"Начальник управления разработки САП и вендорских решений, X5 Tech","Engineering, Enterprise, Management"
expert-004,Василий Рассказов,@JellyRain,"Лид по продуктивизации ИИ, X5 Tech","ML, LLM, Product"
expert-005,Ян Анисимов,,"Curriculum Lead DS/DS+, Yandex Practicum. Head of SDD, Insit Telecom. Ментор AI Talent Hub","DS, ML, Education"
expert-006,Антон Куропятник,,"Engineering Project Manager @ Avride, преподаватель AI Talent Hub","Engineering, Management, Autonomous"
expert-007,Влад Славкин,,"ITMO LLM Lab, agentics.ru, магистрант AI Talent Hub","LLM, Agents, NLP"
expert-008,Рустем Хакимуллин,,"Ведущий ML Engineer в Chatboost, эксперт хакатонов","ML, NLP, Chatbots"
expert-009,Глеб Панин,,"Менеджер по работе с большими данными, X5 Tech","Data, BigData, Analytics"
expert-010,Вадим Чижков,,"Преподаватель курса Продуктовые исследования в AI Talent Hub, Product manager в OneCell","Product, Research, UX"
expert-011,Евгений Баженов,,"Тех-лид/фронт-лид, Сбербанк-Технологии","Frontend, Engineering, Architecture"
expert-012,Андрей Андоскин,,"Руководитель направления по исследованию данных, ментор на курсах LLM в бизнесе","DS, LLM, Business"
expert-013,Мичил Егоров,,"Team Lead разработки продуктивизации ИИ, X5 Tech, выпускник AI Talent Hub","ML, Engineering, MLOps"
expert-014,Александр Потехин,,"NLP Lead X5 Tech, выпускник AI Talent Hub","NLP, LLM, ML"
expert-015,Никита Венедиктов,,"DS Team Lead, Raft, выпускник AI Talent Hub","DS, ML, Engineering"
