title,track,course,rooms,days,time_slots,description,expected_result,tags,tech_areas,author,telegram,links,repository,avg_score,expert_count,mentor_score,score_актуальность,score_практ_значимость,score_новизна,score_импакт,score_rd_сложность,score_масштабирование,score_критерий_7,expert_comments
(примерно) Применение нейросетевых моделей для оценки кредитного риска,Индустриальный,,,,,"Октябрь: работа с данными (транзакции, история БКИ), нужные согласования, сбор выборок для моделирования, генерация признаков, исследование подходов
Ноябрь-Декабрь: моделирование, проверка гипотез на исторических данных
Январь: окончание моделирование, действия в зависимости от успеха/улучшения целевой метрики

Ожидаемый результат: Есть mvp, есть метрики качества, сравнение с работающей в проде моделью","Есть mvp, есть метрики качества, сравнение с работающей в проде моделью",FinTech; ML в промышленности,,Студент_239,@user_157,,,,,,,,,,,,,
Adapstory,Стартап,2 курс,Презентация проектов перед бизнес - партнерами,2026-01-23,15:15:00,"На данный момент проводим глубокий рисерч и CustDev. Будем разрабатывать агентов для образования, построение курсов в телеграм

Ожидаемый результат: PoC/MVP к концу семестра",PoC/MVP к концу семестра,Business; EdTech; Агенты; Стартап,,Студент_748,@expert_239,,,3.0,1,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,
Adapstory - персонализированное обучение,Стартап,,,,,"Мы делаем:
Создать веб-платформу и конструктор диалогов, которые через доставку контента, вопросы, RAG-поддержку и аналитический стек фиксируют не только результат (что сделал ученик), но и ход мыслей (какие гипотезы предлагал/отвергал, какие вопросы задавал), дают наводящие вопросы вместо ответов и автоматически подсказывают наставнику где и как вмешаться.

Дизайн сценариев и образовательной логики
Разработать шаблоны сценариев 
Составить рубрики для оценки навыков мышления (знание, аргументация, креативность и т.д.).
Разработать фиксирование мета-когнитивных навыков (черновики, запросы подсказок, время и т.д.).
Технический MVP
Доработать бэкенд и базу данных (сессий, журнал действий).
Создать фронтенд: интерфейс для ученика, наставника и админ-панель.
Построить визуальный конструктор диалогов (drag-and-drop).
Реализовать базовый RAG-конвейер для поиска по источникам.
Настроить детальное логирование всех действий пользователя.
Метрики мышления и модель оценки
Разработать автоматические метрики качества мышления (качество вопросов, глубина рассуждений и т.д.).
Интегрировать систему оценки и создать визуализацию «портрета мышления» ученика.
Наставник в контуре и педагогические фичи
Создать UI для наставника с аналитикой и подсказками для вмешательства в обучение.
Настроить workflow наставника (уведомления, шаблоны обратной связи).
Провести тренинг для наставников по использованию системы и работе с учениками.

Ожидаемый результат: К концу семестра будет готов прототип платформы для развития мышления. Он будет включать конструктор сценариев с диалогами-тренажерами и систему автоматической оценки метрик качества мышления ученика. В процесс будет интегрирован наставник с инструментами для точечного вмешательства и обратной связи.",К концу семестра будет готов прототип платформы для развития мышления. Он будет включать конструктор сценариев с диалогами-тренажерами и систему автоматической оценки метрик качества мышления ученика. В процесс будет интегрирован наставник с инструментами для точечного вмешательства и обратной связи.,EdTech; RAG; RecSys; Стартап,,Студент_447,@user_651,,,,,,,,,,,,,
Adaptive Agents x AIRI,Индустриальный,,,,,"Жду согласования проекта и дату

Ожидаемый результат: Жду согласования проекта и дату",Жду согласования проекта и дату,ML в промышленности; Агенты,,Студент_814,@user_311,,,,,,,,,,,,,
"adaptive assessment engine: система генерации, валидации и динамической оценки знаний",Demo Day,,FinTech,2026-01-22,13:30:00,,,FinTech,,,,,,2.24,6,,2.5,2.17,2.17,2.2,1.83,2.67,2.17,"Хотелось бы конечно увидеть технологию оценки знаний на живом бизнесе, напр. в рамках лабораторного эксперимента с любым банком"
Adaptive AutoML,Научный,,,,,"1. Обзор литературы: собрать существующие методы, метрики, сформулировать исследовательские вопросы
2. Подготовка экспериментальной среды: выбрать несколько датасетов, несколько моделей, написать код для пайплайна дообучения + расчета метрик
3. Исследование методов отбора данных: реализовать базовые стратегии, провести с ними эксперименты на пайплайне из предыдущего пункта, сравнить результаты по метрикам. Определить финальную гипотезу и методы, которые стоит развивать/масштабировать.
4. Оформление отчета о практике/короткой статьи о пилотных результатах

Ожидаемый результат: проведен сравнительный анализ существующих методов, проверены основные гипотезы, определено направление дальнейшего ресерча","проведен сравнительный анализ существующих методов, проверены основные гипотезы, определено направление дальнейшего ресерча",EdTech; Research,,Студент_047,@user_359,,,,,,,,,,,,,
Advancify,Индустриальный,,,,,"Внедрить модели классификации учебной/неучебной активности, внедрить модель усталости глаз

Ожидаемый результат: Релиз приложения Advancify Desktop с моими внедренными моделями",Релиз приложения Advancify Desktop с моими внедренными моделями,ML в промышленности,,Студент_173,@user_657,,,,,,,,,,,,,
Agent Memory,Научный,,,,,"### Этап 1. Анализ и уточнение постановки задачи (1–2 неделя)

* Уточнение терминов и моделей памяти: STM, MTM, LTM.
* Формализация CRUD-операций для каждого типа памяти.
* Определение метрик токен-баланса и критериев корректности извлечения.
* Согласование архитектуры модуля с руководителем / командой.

**Предполагаемый результат:** утверждённое описание типов памяти, набора метрик и критериев качества; черновой документ со схемой архитектуры.

---

### Этап 2. Проектирование модульной архитектуры памяти (3–5 неделя)

* Разработка интерфейсов между STM, MTM и LTM (общий API).
* Проработка структуры данных для каждого типа памяти:

  * STM — контекстная очередь/буфер;
  * MTM — графовая или табличная онтология;
  * LTM — неизменяемое индексированное хранилище (GraphRAG-подобная структура).
* Проектирование системы Bi-Directional Middle-Long Binds (BMLB).
* Определение формата данных и протокола взаимодействия модулей.

**Предполагаемый результат:** прототип архитектуры и схемы взаимодействия модулей; техническое описание API и структур данных.

---

### Этап 3. Реализация базового прототипа памяти (6–9 неделя)

* Реализация модулей STM, MTM и LTM в минимально работоспособной форме.
* Настройка CRUD-операций и измерения токен-стоимости (через трекинг токенов LLM).
* Реализация BMLB-связей между MTM и LTM.
* Тестирование корректности CRUD и базовой функциональности.

**Предполагаемый результат:** базовый прототип Memory OS, способный выполнять CRUD-операции и вести токен-баланс.

---

### Этап 4. Разработка и интеграция бенчмарков (10–12 неделя)

* Подготовка или адаптация тестовых наборов данных GVD и LoCoMo.
* Разработка сценариев для оценки разных временных горизонтов памяти.
* Внедрение измерения метрик: токен-cost, корректность, скорость.
* Проведение первых сравнительных тестов.

**Предполагаемый результат:** работающий бенчмарк, собирающий метрики по каждому типу памяти и сценарию; первые результаты производительности.

---

### Этап 5. Анализ",,HR; LLM; NLP; RAG; Research; Агенты,,Студент_024,@user_056,,,,,,,,,,,,,
agent-reviewer for scientific tasks,Demo Day,,Multiagent systems,2026-01-23,16:00:00,,,Agents; Агенты,,,,,,2.93,2,,3.0,3.0,3.0,2.5,3.0,3.0,3.0,
AgentArea,Стартап,1 курс,Презентация проектов перед бизнес - партнерами,2026-01-23,16:30:00,"Погружение (2 недели)
- Изучить кодовую базу AgentArea
- Разобрать существующие подходы к планированию задач агентами
- Настроить среду разработки, сделать первые правки

Основная разработка (4 недели)
Модуль планирования для агентов:
- Декомпозиция сложных задач на подзадачи
- Построение графа зависимостей между шагами
- Валидация и корректировка плана в процессе выполнения

Система оценки агентов:
- Метрики: скорость ответа, расход токенов, процент успешных задач
- Скрипт автоматического тестирования
- Отчеты в JSON

Этап 3: Завершение (2-3 недели)
- Встроить модули в основную систему
- Написать документацию с примерами
- Протестировать и отправить PR
- Подготовить презентацию для ИТМО

Ожидаемый результат: Что будет сделано: 1) Модуль планирования задач - агент сможет разбивать сложные запросы на шаги 2) Скрипт для оценки качества работы агентов 3) 2-3 принятых PR в репозиторий 4) Техническая документация   Что получу: 1) Более глубокое понимание архитектуры агентных систем 2) Опыт работы с декомпозицией задач для LLM 3) Вклад в open-source проект 4) База для дальнейшей работы в стартапе",Что будет сделано: 1) Модуль планирования задач - агент сможет разбивать сложные запросы на шаги 2) Скрипт для оценки качества работы агентов 3) 2-3 принятых PR в репозиторий 4) Техническая документация   Что получу: 1) Более глубокое понимание архитектуры агентных систем 2) Опыт работы с декомпозицией задач для LLM 3) Вклад в open-source проект 4) База для дальнейшей работы в стартапе,Business; LLM; NLP; Агенты; Стартап,Agentic_AI; Data_Scientist; LLM; NLP,Студент_212,@user_091,https://github.com/dpGorbunov/experiments-agentarea,,2.79,2,5.0,3.0,3.0,3.0,2.5,3.0,3.0,2.0,
